3
0 0 5
0 1 3 4.5 90
 
0 0 29
0.00
14.04
26.57
36.87
45.00
51.34
56.31
60.26
63.43
68.20
71.57
74.05
75.96
77.47
78.69
79.70
80.54
81.25
81.87
82.41
82.87
83.29
83.66
83.99
84.29
84.56
84.81
85.03
85.24
 
0 0 20
0    
2    
5    
10    
15    
20    
25    
30    
35    
40    
45    
60    
75    
90    
105    
120    
135    
150    
165
180

413.60	431.10	438.13	434.60	415.30	338.70	278.85	230.32	191.37	159.30	138.62	96.09	75.30	59.60	44.79	35.98	32.68	32.13	31.75	38.57
437.61	502.50	461.80	433.90	388.50	281.81	207.43	173.20	144.90	122.80	104.40	62.96	46.22	37.60	30.43	25.56	22.83	22.48	23.10	26.00
453.19	518.20	461.10	397.40	310.00	206.91	156.57	129.20	106.50	85.90	72.20	41.38	29.93	24.40	20.82	18.46	16.62	15.80	16.94	19.29
446.39	509.39	424.60	343.00	259.20	163.89	120.32	94.40	74.60	59.90	49.76	29.98	20.23	16.80	14.77	13.51	12.27	12.13	12.61	14.34
411.47	437.51	372.80	276.40	186.10	116.40	81.70	64.00	52.50	43.18	36.20	20.09	15.00	12.00	10.96	9.83	9.13	9.42	10.21	11.29
306.90	292.60	242.42	170.00	97.55	64.59	55.83	39.16	30.26	24.25	20.51	11.37	7.73	7.63	6.61	6.13	5.76	5.95	6.83	7.52
249.10	213.40	164.07	113.90	56.29	40.59	28.46	24.55	18.51	13.64	12.04	6.73	4.85	4.71	4.37	4.28	3.79	4.15	4.79	5.35
215.90	162.00	122.78	68.25	36.52	26.83	19.07	14.24	10.68	8.70	7.53	4.39	3.40	3.28	3.01	3.10	2.78	3.03	3.51	3.94
191.20	131.80	73.40	43.10	24.60	15.14	12.95	9.53	8.06	6.12	4.95	2.97	2.41	2.32	2.22	2.45	2.04	2.38	2.78	3.09
165.70	102.86	53.30	27.44	17.20	10.49	9.65	7.09	4.68	3.93	3.63	2.09	1.87	1.77	1.69	1.87	1.56	1.81	2.12	2.37
148.70	83.90	40.90	21.41	12.24	7.24	7.24	4.83	3.50	2.87	2.42	1.67	1.47	1.30	1.32	1.45	1.20	1.42	1.50	1.97
133.70	69.50	31.50	17.20	9.20	5.61	5.11	3.46	2.96	2.11	2.22	1.63	1.37	1.38	1.24	1.16	1.10	1.59	1.46	1.95
118.90	58.80	25.10	12.90	7.22	4.41	3.54	2.45	2.38	1.97	1.69	1.32	1.10	1.10	0.99	0.98	0.00	0.00	0.00	1.63
109.50	50.76	20.40	9.20	4.70	3.54	3.00	2.01	1.83	1.59	1.40	1.08	0.85	0.85	0.80	0.75	0.00	0.00	0.00	1.42
101.80	44.40	16.50	7.53	3.37	2.75	2.43	1.65	1.49	1.33	1.21	0.89	0.69	0.69	0.66	0.65	0.00	0.00	0.00	1.22
95.00	37.50	13.20	6.21	2.74	2.28	2.08	1.51	1.21	1.03	0.97	0.69	0.57	0.56	0.53	0.53	0.00	0.00	0.00	0.89
89.10	33.00	11.06	4.91	2.17	1.81	1.74	1.37	0.99	0.87	0.78	0.58	0.50	0.46	0.47	0.47	0.00	0.00	0.00	0.00
83.01	28.93	8.88	3.69	1.77	1.51	1.51	1.10	0.81	0.74	0.62	0.48	0.41	0.41	0.39	0.38	0.00	0.00	0.00	0.00
77.10	24.58	7.34	3.14	1.50	1.38	1.17	0.89	0.72	0.62	0.56	0.42	0.34	0.33	0.34	0.34	0.00	0.00	0.00	0.00
70.30	21.13	6.23	2.68	1.28	1.23	0.95	0.74	0.59	0.50	0.47	0.35	0.28	0.30	0.28	0.28	0.00	0.00	0.00	0.00
63.00	19.11	5.58	2.29	1.15	1.01	0.81	0.62	0.53	0.43	0.42	0.32	0.25	0.25	0.26	0.26	0.00	0.00	0.00	0.00
57.70	17.06	4.89	2.00	1.01	0.88	0.70	0.55	0.47	0.37	0.39	0.27	0.23	0.23	0.22	0.24	0.00	0.00	0.00	0.00
51.60	15.50	4.39	1.75	0.90	0.79	0.59	0.48	0.40	0.32	0.31	0.25	0.19	0.21	0.20	0.22	0.00	0.00	0.00	0.00
46.50	14.09	3.79	1.56	0.78	0.00	0.53	0.43	0.34	0.30	0.29	0.21	0.18	0.18	0.19	0.19	0.00	0.00	0.00	0.00
41.07	13.07	2.90	1.06	0.53	0.00	0.48	0.40	0.32	0.28	0.26	0.20	0.15	0.17	0.16	0.18	0.00	0.00	0.00	0.00


96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29	96.29
112.47	113.10	112.80	111.57	109.60	107.60	105.20	102.77	100.50	98.67	97.46	92.93	87.96	83.30	79.05	77.89	78.80	79.80	78.00	77.40
114.58	115.89	115.50	111.55	108.30	105.20	102.05	98.40	94.20	90.50	86.40	76.66	68.81	62.76	58.80	55.33	54.00	53.30	52.00	51.91
104.24	103.97	103.41	100.50	97.13	92.94	88.18	83.06	77.36	71.80	66.99	55.64	47.87	42.83	40.30	38.60	37.00	37.00	37.00	36.74
88.00	88.17	87.31	84.40	80.29	75.80	69.80	64.20	58.43	53.20	49.46	39.20	32.23	28.20	26.61	25.87	25.54	25.05	25.00	25.00
71.87	71.96	69.97	66.75	62.29	57.26	52.51	47.55	43.13	39.30	35.78	27.27	22.12	19.75	18.32	17.41	17.00	16.79	17.06	17.57
57.85	57.36	55.44	52.51	48.29	44.38	40.35	36.56	32.77	28.88	25.87	19.61	15.82	14.11	12.90	12.07	11.68	11.73	11.70	11.88
45.68	45.70	44.50	41.95	38.19	34.46	31.10	27.24	24.29	21.33	19.23	14.57	11.46	10.00	9.06	8.60	8.47	8.42	8.42	8.52
36.32	36.15	35.67	33.41	30.26	26.91	23.72	21.07	18.53	16.60	14.49	10.66	8.58	7.48	6.82	6.00	6.04	6.36	5.92	6.38
24.30	24.50	23.69	21.89	19.86	17.68	15.14	13.33	11.05	9.76	8.75	6.43	4.85	4.28	4.04	3.84	3.69	3.66	3.65	3.67
16.83	17.04	16.51	15.29	13.61	11.77	10.23	8.77	7.76	6.57	5.82	4.26	3.23	2.85	2.58	2.42	2.34	2.31	2.29	2.30
12.22	12.44	11.89	11.18	9.59	8.34	7.17	6.11	5.14	4.40	3.99	2.88	2.20	1.88	1.73	1.64	1.58	1.54	1.51	1.49
9.17	8.93	8.79	8.05	7.07	6.18	5.28	4.38	3.75	3.12	2.77	1.96	1.53	1.35	1.27	1.20	1.16	1.14	1.15	1.16
7.00	6.90	6.78	6.22	5.40	4.68	3.91	3.23	2.83	2.37	2.08	1.47	1.17	1.00	0.88	0.81	0.78	0.77	0.80	0.87
5.48	5.44	5.32	4.91	4.19	3.58	3.04	2.57	2.20	1.83	1.66	1.15	0.91	0.77	0.70	0.65	0.61	0.59	0.59	0.59
4.29	4.34	4.26	3.84	3.32	2.86	2.35	1.97	1.64	1.33	1.17	0.81	0.63	0.54	0.49	0.45	0.44	0.43	0.43	0.44
3.41	3.44	3.36	3.09	2.67	2.32	1.90	1.55	1.25	1.03	0.91	0.63	0.49	0.42	0.37	0.35	0.34	0.33	0.33	0.33
